waybillno,productcode
SF6507089112092,null
SF6507090375782,null
SF9600553063431,SE0001
SF6507090651143,null
SF6507090223897,null
SF6507089396070,null
SF6507089493580,null
SF6507089523663,null
SF6507089121424,null
SF6507089956266,null
SF6507089571948,null
SF6507089083878,null
SF6507089768867,null
SF6507089086226,null
SF6507089676322,null
SF6507089080113,null
SF6507088606363,null
SF6507090213425,null
SF6507089220410,null
SF6507089987125,null
SF6507089384015,null
SF6507088984714,null
SF6507089084493,null
SF6507089109743,null
SF6507090333605,null
SF6507089515863,null
SF6507089219507,null
SF6507090365383,null
SF6507089063121,null
SF6507089769447,null
SF6507090096983,null
SF6507089065679,null
SF6507089489142,null
SF6507089507471,null
SF6507089697367,null
SF6507090023047,null
SF6507090589085,null
SF6508603271503,null
SF6507089385887,null
SF6507089018201,null
SF6507090395168,null
SF6507090471836,null
SF6507090532646,null
SF6507089407074,null
SF6507089908988,null
SF6507090596029,null
SF6507089084281,null
SF6507089116054,null
SF6507089495677,null
SF6507089058758,null
SF6507089308748,null
SF6507089113015,null
SF6507088607913,null
SF6507089329324,null
SF6507090157477,null
SF6508603272737,null
SF6507090375843,null
SF6507089177848,null
SF6507089114170,null
SF6507090112688,null
SF6507090630347,null
SF6507089110524,null
SF6507088987436,null
SF6507089126287,null
SF6507090589030,null
SF6507089118520,null
SF6507089109831,null
SF6507089363556,null
SF6507089111829,null
SF6507089122870,null
SF6507089117969,null
SF6507089067905,null
SF6507089111104,null
SF6507089120253,null
SF6507090062563,null
SF6507089110815,null
SF6507089844626,null
SF6507089178649,null
SF6507089746998,null
SF6507089762445,null
SF6507089123723,null
SF6507088984778,null
SF1520397425593,null
SF6507089308563,null
SF6507089101729,null
SF6507089078426,null
SF6507090036273,null
SF6507090059439,null
SF6507089077459,null
SF6507089516415,null
SF6507089089239,null
SF6507090064738,null
SF6507089078278,null
SF6507089092787,null
SF6507089086905,null
SF6507089220138,null
SF6507089079291,null
SF6507088986547,null
SF6507089305612,null
SF6507090314208,null
SF6507089856884,null
SF6507089861981,null
SF6507088982009,null
SF6507090552332,null
SF6507089114189,null
SF6507090017210,null
SF6507090115982,null
SF6507089093959,null
SF6507089349734,null
SF6507090692825,null
SF6507090332415,null
SF6507089945454,null
SF6507089435090,null
SF6507088982391,null
SF6507089112348,null
SF6507089295834,null
SF6507089086941,null
SF6507089170670,null
SF6507089938260,null
SF6507089855650,null
SF6507090309817,null
SF6507089112532,null
SF6507089453050,null
SF6507089220095,null
SF6507089079925,null
SF6507089123336,null
SF6507089452347,null
SF6507090451822,null
SF6507089986697,null
SF6507089632041,null
SF6507089187725,null
SF6507089125070,null
SF6507088987976,null
SF6507089089105,null
SF6507089689451,null
SF6507089123390,null
SF6507089515184,null
SF6507089115890,null
SF6507089111034,null
SF6507089070793,null
SF6507089070184,null
SF6507090448733,null
SF6507089108157,null
SF6507090098742,null
SF6507089654503,null
SF6507089118062,null
SF6507089340249,null
SF6507089062366,null
SF6507089461796,null
SF6507090074671,null
SF6507089116867,null
SF6507089080477,null
SF6507089999205,null
SF6507088556965,null
SF6507089216812,null
SF6507089062153,null
SF6507088839072,null
SF6507089793905,null
SF6507089078153,null
SF6507089118636,null
SF6507090442109,null
SF6507090032839,null
SF6507090326933,null
SF6507089086110,null
SF6507089254751,null
SF6507089811617,null
SF6507089113273,null
SF6507088982433,null
SF6507089500063,null
SF6507090607509,null
SF6507089819419,null
SF6507090016127,null
SF6507090806725,null
SF6507090727213,null
SF6507089067687,null
SF6507090440782,null
SF6507090011498,null
SF6507089512666,null
SF6507089800919,null
SF6507089694150,null
SF6507089084988,null
SF6507089084439,null
SF6507089107523,null
SF6507089453402,null
SF6507089297118,null
SF6507089803764,null
SF6507090444550,null
SF6507089277284,null
SF6507089035026,null
SF6507089717013,null
SF6507089453236,null
SF6507089107417,null
SF6507089124685,null
SF6507089632890,null
SF6507090596596,null
SF6507089095709,null
SF6507090188105,null
SF6507089119570,null
SF6507090463771,null
SF6507089121054,null
SF6507089088913,null
SF6507090508576,null
SF6507089174650,null
SF6507089079370,null
SF6507089172572,null
SF9600553063801,SE0001
SF6507089855305,null
SF6507090033631,null
SF6507089109559,null
SF6507089216812,
SF6507090179735,null
SF6507089072553,null
SF6507089080326,null
SF6507090034583,null
SF6507089889742,null
SF6507089129818,null
SF6507090452138,null
SF6507090063470,null
SF6507089110994,null
SF6507090439126,null
SF6507089072314,null
SF6507089116900,null
SF6507088983387,null
SF6507089220077,null
SF6507089289955,null
SF6507089123239,null
SF6508603271664,null
SF6507089064046,null
SF6507089074419,null
SF6507088608168,null
SF6507088606469,null
SF6507089064725,null
SF6507089116885,null
SF6507089097393,null
SF6507089257464,null
SF6507089972475,null
SF6507089972475,
SF6507090484831,null
SF6507089105154,null
SF6507089557368,null
SF6507090323490,null
SF6507089881834,null
SF6507090498665,null
SF6507088863160,null
SF6507089958856,null
SF6507089122861,null
SF6507090048450,null
SF6507090255363,null
SF6507090178015,null
SF6507089124506,null
SF6507089083657,null
SF6507089061722,null
SF6507089123857,null
SF6507089063282,null
SF6508603271858,null
SF6507088607146,null
SF6507089519631,null
SF6507089935106,null
SF6507089078393,null
SF6507090216049,null
SF6507088548353,null
SF6507089247180,null
SF6507089115166,null
SF6507087760104,null
SF6507089064559,null
SF6507089074695,null
SF6507088878535,null
SF6507089562436,null
SF6507089894802,null
SF6507089110057,null
SF6507089074137,null
SF6507089112735,null
SF6507089139186,null
SF6507089079616,null
SF6507089125795,null
SF6507089086483,null
SF6507088986413,null
SF6507088608283,null
SF6507089080061,null
SF6507090441990,null
SF6507089903216,null
SF6507089109789,null
SF6507090608188,null
SF6507089076667,null
SF6507090485227,null
SF6507089492133,null
SF6507089182344,null
SF6507089299453,null
SF6507090334584,null
SF6507090163578,null
SF6507090303592,null
SF6507089910685,null
SF6507090173756,null
SF6507089815397,null
SF6507089577390,null
SF6508603271742,null
SF6507089122331,null
SF6507090006894,null
SF6507089991245,null
SF6507089068741,null
SF6507089959658,null
SF6507090327037,null
SF6507089149707,null
SF6507089820332,null
SF6507088983987,null
SF6507089074243,null
SF6507089067165,null
SF6507088653999,null
SF6507089507375,null
SF6507089086208,null
SF6507089574314,null
SF6507089768919,null
SF6507089125335,null
SF6507089108924,null
SF6507089664648,null
SF6507089641314,null
SF6507089263210,null
SF6507089062083,null
SF6507090387978,null
SF6507090317141,null
SF6507089711229,null
SF6507090462307,null
SF6507090494667,null
SF6507089142017,null
SF6507088965566,null
SF6507090462421,null
SF6507090086441,null
SF6507088606802,null
SF6507090665974,null
SF6507089130837,null
SF6507089046078,null
SF6507089083869,null
SF6507090274502,null
SF6507088984441,null
SF6507090743626,null
SF6507090381495,null
SF6507089035381,null
SF6507089085338,null
SF6507089080556,null
SF6507088972908,null
SF6507089324958,null
SF9600553063901,SE0001
SF6507090093759,null
SF6507089066982,null
SF6507089116991,null
SF6507089071577,null
SF6507090437685,null
SF6507089067271,null
SF6507089122755,null
SF6507089069861,null
SF6507090443908,null
SF6507089569880,null
SF6507090157874,null
SF6507090061708,null
SF6507089087142,null
SF6507089703534,null
SF6507090006673,null
SF6507089098245,null
SF6507089110002,null
SF1110520229344,S2
SF6507089112426,null
SF6507090437136,null
SF6507089074304,null
SF6507089061608,null
SF6508603273502,null
SF6507089931902,null
SF6507090346152,null
SF6507089678676,null
SF6507089063934,null
SF6507089057727,null
SF6507090489719,null
SF6508603271628,null
SF6507089068336,null
SF6507088909781,null
SF6507089811999,null
SF6507089216576,null
SF6507090332045,null
SF6507089108606,null
SF6507089582468,null
SF6507089908527,null
SF6507090082392,null
SF6507089138154,null
SF6507088986399,null
SF6507090183088,null
SF6507089080856,null
SF6507089582486,null
SF6507090609156,null
SF6507089545490,null
SF6507089346343,null
SF6507089071965,null
SF6507090060421,null
SF6507088277152,null
SF6507090521331,null
SF6507089548315,null
SF6507089565952,null
SF6507089069359,null
SF6507089309019,null
SF6507089400391,null
SF6507088984927,null
SF6507089084448,null
SF6507089085983,null
SF6507090124989,null
SF6507089124903,null
SF6507089131587,null
SF6507090310370,null
SF6507089095330,null
SF6507089117508,null
SF6507088591795,null
SF6507089122191,null
SF6507089109425,null
SF6507090368861,null
SF6507090082189,null
SF6507088985764,null
SF6507089114125,null
SF6507089076542,null
SF6507089668937,null
SF6507089086147,null
SF6507089061829,null
SF6507089121858,null
SF6507089096412,null
SF6507089941792,null
SF6507089069631,null
SF6507089063370,null
SF6507090533996,null
SF6507089816646,null
SF6507089124897,null
SF6507090447906,null
SF6507090332646,null
SF6507089269826,null
SF6507088607922,null
SF6507089128656,null
SF6507089069622,null
SF6507089767679,null
SF6507089127607,null
SF6507089087027,null
SF6507089316442,
SF6507089073355,null
SF6507089743164,null
SF6507089062602,null
SF6507089123520,null
SF6507089422003,null
SF6507088981545,null
SF6507089316442,null
SF6507090630222,null
SF6507089253572,null
SF6507090232682,null
SF6507089951661,null
SF6507088725442,null
SF6507090101796,null
SF6507089190804,null
SF6507089528910,null
SF6507089617701,null
SF6507089108184,null
SF6507089062117,null
SF6507089432087,null
SF6507088608025,null
SF6507089125353,null
SF6507090010827,null
SF6507089309947,null
SF6507089775812,null
SF6507089064683,null
SF6507089038480,null
SF6507089080529,null
SF6507089170891,null
SF6507090495856,null
SF6507088988325,null
SF6507089109338,null
SF6507089124754,null
SF6507089220004,null
SF6507090215258,null
SF6507089107296,null
SF6507089219773,null
SF6507089910833,null
SF6507089069561,null
SF6507089144856,null
SF6507089455350,null
SF6507089326339,null
SF6507090480172,null
SF6507088986025,null
SF6507089295437,null
SF6507089120817,null
SF6507089936834,null
SF6507090102790,null
SF6507089452734,null
SF6507089068796,null
SF6507089609461,null
SF9600553063871,SE0001
SF6507089074173,null
SF6508603273441,null
SF6507089030518,null
SF6507089199693,null
SF6507089119455,null
SF6507089113307,null
SF6507089127352,null
SF6507090461685,null
SF6507090506347,null
SF6507089066830,null
SF6507090358302,null
SF6507089097587,null
SF6507089095781,null
SF6507089070881,null
SF6507089327264,null
SF6507090346674,null
SF6507089069931,null
SF6507090332081,null
SF6507089119922,null
SF6507089116706,null
SF6507089300751,null
SF6507090491106,null
SF6507089364153,null
SF6507089190770,null
SF6507089062250,null
SF6507088987736,null
SF6507089118478,null
SF6507089063219,null
SF6507090247784,null
SF6507090327082,null
SF6507088825812,null
SF6507089214761,null
SF6507088987358,null
SF6507090186594,null
SF6507090085562,null
SF6507090440313,null
SF6507089586281,null
SF6507090677736,null
SF6507089827721,null
SF6507089453078,null
SF6507089425229,null
SF6507090234848,null
SF6507090684452,null
SF6507088981245,null
SF6507090627610,null
SF6507090681362,null
SF6507089078444,null
SF6507089073788,null
SF6507089077680,null
SF6507090481847,
SF6507090481847,null
SF6507090681362,
SF6507090331748,null
SF6507089650911,null
SF6508603271655,null
SF6507089075884,null
SF6507089759394,null
SF6507089588765,null
SF6507088713705,null
SF6507090660962,null
SF6507089048369,null
SF6507089335760,null
SF6507089122659,null
SF6507090352262,null
SF6507089165582,null
SF6507089079060,null
SF6507089074959,null
SF6507089124709,null
SF6507089358680,null
SF6507089080186,null
SF9600553063261,SE0001
SF6507090239393,null
SF6507089126223,null
SF6507090009613,null
SF6507089107480,null
SF6507088607755,null
SF6507089083814,null
SF6507089131108,null
SF6507089076321,null
SF6507089071929,null
SF6507089658380,null
SF6507088608210,null
SF6507090273774,null
SF6507090251347,null
SF6507089460146,null
SF6507089124842,null
SF6507089111399,null
SF6507089108315,null
SF6507089077829,null
SF6507089222128,null
SF6507090011886,null
SF6507089663104,null
SF6507090170301,null
SF6507089118875,null
SF6507089117696,null
SF6507089119100,null
SF6507089126339,null
SF6507089063264,null
SF6507089062744,null
SF6507088608592,null
SF6507089087442,null
SF6507089216009,null
SF6507090102842,null
SF6507089098397,null
SF6507089965282,null
SF6507090675525,null
SF6507089076506,null
SF6507089646961,null
SF6507089638533,null
SF6507089094131,null
SF6507089064347,null
SF6507089568337,null
SF6507089685887,null
SF6507089219700,null
SF6507088987224,null
SF6507090459591,null
SF6507089087973,null
SF6507089086950,null
SF6507089757995,null
SF6507088944072,null
SF6507089965228,null
SF6507090356321,null
SF6507089089062,null
SF6507089107648,null
SF6507089062514,null
SF6507089811089,null
SF6507090630692,null
SF6507090168058,null
SF6507090094029,null
SF6508603272695,null
SF6507089452222,null
SF6507090274178,null
SF6507090056384,null
SF6507088528709,null
SF6507089082730,null
SF6507088795836,null
SF6507089420899,null
SF6507089125999,null
SF6507090102145,null
SF6507089071901,null
SF6507089074561,null
SF6507089593765,null
SF6507089937681,null
SF6507089236737,null
SF6507089333965,null
SF6507089118196,null
SF6507089505436,null
SF6507089219728,null
SF6507089093146,null
SF6507089068071,null
SF6507089214813,null
SF6507089062762,null
SF6507090331766,null
SF6507089122304,null
SF6507089061926,null
SF6507089125671,null
SF6507088608104,null
SF6507089065379,null
SF6507090348300,null
SF6507089120323,null
SF6507089089284,null
SF6507090519168,null
SF6507090439302,null
SF6507089109152,null
SF6507089194414,null
SF6507090035109,null
SF6507088984496,null
SF6507089169183,null
SF6507089071365,null
SF6507089084245,null
SF6507089957507,null
SF6507089315087,null
SF6507089131975,null
SF6507089834429,null
SF6507090294385,null
SF6507088606345,null
SF6507089113846,null
SF6507089106185,null
SF6507090049861,null
SF6507088606441,null
SF6507089162020,null
SF6507089109046,null
SF6507088606690,null
SF6507089091774,null
SF6507088987127,null
SF6507089214489,null
SF6507089189619,null
SF6507089079430,null
SF6507089126453,null
SF6507089169765,null
SF6507089071189,null
SF6507089206403,null
SF6507089073479,null
SF6507090105652,null
SF6507089128046,null
SF9600553063561,SE0001
SF6507089214161,null
SF6507089118723,null
SF6507089116442,null
SF6507089183312,null
SF6507090483112,null
SF6507089453509,null
SF6507088737540,null
SF6507089130112,null
SF6507090154119,null
SF6507089077140,null
SF6507089194414,
SF6507089097666,null
SF6507090262430,null
SF6507089296431,null
SF6507089263501,null
SF6507090037480,null
SF6507089075423,null
SF6507089739810,null
SF6507088607898,null
SF6507090489030,null
SF6507089097850,null
SF6507089120701,null
SF6507089882962,null
SF6507089938172,null
SF6507089113528,null
SF6507089070572,null
SF6507089982098,null
SF6507089072835,null
SF6507089107762,null
SF6507090447218,null
SF6507090346392,null
SF6507089065014,null
SF6507089096698,null
SF6507089452840,null
SF6507090616622,null
SF6507088986177,null
SF6507089691554,null
SF6507089194257,null
SF6507090307688,null
SF6507090208867,null
SF6507089107984,null
SF6507089912135,null
SF6507090181801,null
SF6507089082228,null
SF6507090246752,null
SF6507089422067,null
SF6507089186148,null
SF6507090256330,null
SF6507089110394,null
SF6507089078162,null
SF6507089221885,null
SF6507090616049,null
SF6507088833330,null
SF6507089933204,null
SF6507089063749,null
SF6507090508346,null
SF6508603272076,null
SF6507090290410,null
SF6507089120687,null
SF6507090404578,null
SF6507089085716,null
SF6507090332188,null
SF6507089063730,null
SF6507089905427,null
SF6507090618851,null
SF6507089104704,null
SF6507088746035,null
SF6507089137008,null
SF6507089084236,null
SF6507090188336,null
SF6507090437772,null
SF6507089063255,null
SF6507090423172,null
SF6507090599342,null
SF6507089109000,null
SF6507090309978,null
SF6507089107320,null
SF6507089126993,null
SF6507089109028,null
SF6507089440894,null
SF6507089112814,null
SF6507089941004,null
SF1110438186164,S2
SF6507089584033,null
SF6507090495371,null
SF6507089270033,null
SF6507089072905,null
SF6507090082956,null
SF6507089109170,null
SF6507089392691,null
SF6507089998194,null
SF6507089124790,null
SF6507089194257,
SF6507089089187,null
SF6507089452813,null
SF6507090111596,null
SF6507089087919,null
SF6507089094140,null
SF6507089076376,null
SF6507089082237,null
SF6507089116779,null
SF6507089082873,null
SF6507089177875,null
SF6507089077468,null
SF6507090041644,null
SF6507089123123,null
SF6507089117571,null
SF6507089906194,null
SF6507088981606,null
SF6507090011965,null
SF6507090084179,null
SF6507089563829,null
SF6507089852725,null
SF6507090443565,null
888026888403,S2
SF1450849897274,null
SF6507089218981,null
SF6507088388730,null
SF6508603271955,null
SF6507088983401,null
SF6507090215594,null
SF6507090340128,null
SF6507089070209,null
SF6507089081312,null
SF6507090039761,null
SF6507089104810,null
SF6507089798325,null
SF6507089113103,null
SF6507090734053,null
SF6507090588972,null
SF6507089704699,null
SF6507089024611,null
SF6507089114956,null
SF6507089122049,null
SF6507090508433,null
SF6507089108263,null
SF6507089074216,null
SF6507088982691,null
SF6507090486585,null
SF6507089109868,null
SF6507089109134,null
SF6507089607984,null
SF6507089995719,null
SF6507089998246,null
SF6507090011064,null
SF6507089066788,null
SF6507088983095,null
SF6507090478042,null
SF9600553063791,SE0001
SF6507089997912,null
SF6507089123284,null
SF6507090102075,null
SF6507089778490,null
SF6507089284176,null
SF6507090458799,null
SF6507089085107,null
SF6507089878842,null
SF6507090075772,null
SF6507089119119,null
SF6507089958699,null
SF6507090366147,null
SF6507089063316,null
SF6507089124394,null
SF6507090046346,null
SF6507086748878,null
SF6507088838192,null
SF6507088985986,null
SF6507090298629,null
SF6507089107541,null
SF6507089595173,null
SF6507090293963,null
SF6507089550278,null
SF6507090277057,null
SF6507089059957,null
SF6507089789442,null
SF6507089096361,null
SF6507089125556,null
SF6507089109125,null
SF6507089071629,null
SF6507090061762,null
SF6507089061140,null
SF6507089301438,null
SF6507089110376,null
SF6507089126666,null
SF6507089235009,null
SF6507088606645,null
SF6507089122589,null
SF6507090312697,null
SF6507089149213,null
SF6507089875124,null
SF6507089332624,null
SF6507089061274,null
SF6507090235561,null
SF6507090061648,null
SF6507089748096,null
SF6507090788008,null
SF6507089299135,null
SF6507089643012,null
SF6507089459127,null
SF6507088982267,null
SF6507089155396,null
SF6507089240715,null
SF6507089663089,null
SF6507089209752,null
SF6507089925926,null
SF6507089247144,null
SF6507089022181,null
SF6507089122570,null
SF6507089284528,null
SF6507089860428,null
SF6507089492928,null
SF6507089128198,null
SF6507089111495,null
SF6507089706006,null
SF1515083832987,null
SF6508603272913,null
SF6507089113088,null
SF6507089073036,null
SF6507090094162,null
SF6507090174293,null
SF6507089083587,null
SF6508603273318,null
SF6507088691838,null
SF6507089889937,null
SF6507089873734,null
SF6507088606893,null
SF6507089336359,null
SF6507089931596,null
SF6507089530855,null
SF6507088983262,null
SF6507090163832,null
SF6507089945833,null
SF6507089086969,null
SF6507089312453,null
SF6507088868453,null
SF6507090097633,null
SF6507088232626,null
SF6507090151683,null
SF6507089074843,null
SF6507089130582,null
SF6507089610921,null
SF6507089721364,null
SF6507090437436,null
SF6507090013442,null
SF6507089024587,null
SF6507089968221,null
SF6507089081172,null
SF6507089095084,null
SF6507090701539,null
SF6507089067438,null
SF6507089087018,null
SF6507089060524,null
SF6507089219395,null
SF6507089070148,null
SF6507089084166,null
SF6507089073937,null
SF6507088984099,null
SF6507089533956,null
SF6507089671426,null
SF6507089905727,null
SF6507089094662,null
SF6507089778897,null
SF6507089093613,null
SF6508603271982,null
SF6507089493447,null
SF6507089765194,null
SF6507088715662,null
SF6507089083596,null
SF6507089121715,null
SF6507089114813,null
SF6507090224800,null
SF6507089857164,null
SF6507090203140,null
SF6507090439499,null
SF6507089112074,null
SF6507089130485,null
SF6507090107827,null
SF6507089505790,null
SF6507089685029,null
SF6507089113819,null
SF6507089580539,null
SF6507089035284,null
SF6507089125016,null
SF6507089073751,null
SF6507089069234,null
SF6507089108023,null
SF6507089080999,null
SF6507090507960,null
SF6507089120553,null
SF6507090094117,null
SF6507090439596,null
SF6507090449068,null
SF6507089077344,null
SF6507089125953,null
SF6507089263980,null
SF6507088983701,null
SF6507088607003,null
SF6507089183967,null
SF6507089440197,null
SF6507089078771,null
SF6507088698441,null
SF6507090503883,null
SF6507089061043,null
SF6507090048478,null
SF6507088606372,null
SF6507090418515,null
SF6508603272728,null
SF6507089096307,null
SF6508603273099,null
SF6507090236926,null
SF6507089068390,null
SF6507089112375,null
SF6507090726096,null
SF6507089230485,null
SF6507090353503,null
SF6507089061944,null
SF6507089143613,null
SF6507089049203,null
SF6507090127170,null
SF6507090352687,null
SF6507090214747,null
SF6507089095303,null
SF6507089495225,null
SF6507090327204,null
SF6507088987172,null
SF6507090016658,null
SF6507089847505,null
SF6507090103025,null
SF6507089362472,null
SF6507089071259,null
SF6507089415766,null
SF6507089816063,null
SF6507089219913,null
SF6507089075390,null
SF6507089080547,null
SF6507089452286,null
SF6507090208328,null
SF6507089083850,null
SF6507088852367,null
SF6507089903322,null
SF6507089898421,null
SF6507089142936,null
SF6507089118220,null
SF6507089109498,null
SF6507088981697,null
SF6507088983835,null
SF6507089073081,null
SF6507089880636,null
SF6507089577141,null
SF6507090332276,null
SF6507090693732,null
SF6507089118927,null
SF6507089073964,null
SF6507089068062,null
SF6507089073054,null
SF6507089115457,null
SF6507089334783,null
SF6507089453324,null
SF6507089090230,null
SF6507089071656,null
SF6507089093252,null
SF6507089120192,null
SF6507089116090,null
SF6507089307144,null
SF6507089124860,null
SF6507088933303,null
SF6507089073151,null
SF6507090769187,null
SF6507089071683,null
SF6507089110772,null
SF6507090001292,null
SF6507089120378,null
SF6507090444717,null
SF9600553064131,SE0001
SF6507090499333,null
SF6507089131957,null
SF6507089073955,null
SF6507089096864,null
SF6507089067068,null
SF6507089084184,null
SF6507089083744,null
SF6507089147762,null
SF6507089121724,null
SF6507089078569,null
SF6507089665121,null
SF6507090028543,null
SF6507089487770,null
SF6507090595371,null
SF6507089071392,null
SF6507090144841,null
SF6507090445749,null
SF6507090093098,null
SF6507089126480,null
SF6507089962367,null
SF6507090155566,null
SF6507089756035,null
SF6507090777621,null
SF6507089120156,null
SF6507089151837,null
SF6507089708388,null
SF6507089125477,null
SF6507089071383,null
SF6507088553671,null
SF6507089172484,null
SF6507090614756,null
SF6507089107666,null
SF6507089748379,null
SF6507090560892,null
SF6507089838057,null
SF6507089109055,null
SF6507089455474,null
SF6507089078708,null
SF6507089092609,null
SF6507089077122,null
SF6507089120826,null
SF6507090108964,null
SF6507089127591,null
SF6507089863413,null
SF6507089588932,null
SF6507090303404,null
SF6507089126108,null
SF6507090437709,null
SF6507089107578,null
SF6507088607359,null
SF6507089074534,null
SF6507089114213,null
SF6507089108624,null
SF6507090439648,null
SF6507089072183,null
SF6507090309738,null
SF6507089115032,null
SF6507089069570,null
SF6507089075732,null
SF6507089108032,null
SF6507089115448,null
SF6507090061569,null
SF6507089180945,null
SF6507088914515,null
SF6507089971569,null
SF6507090360510,null
SF6507089603986,null
SF6507089805860,null
SF6507089218169,null
SF6507089076903,null
SF6507089693605,null
SF6507089073742,null
SF6507089111468,null
SF6507090678989,null
SF6507090736801,null
SF6507090041565,null
SF6507089994248,null
SF6507089341387,null
SF6507089125195,null
SF6507089825592,null
SF6507089220456,null
SF6507089747957,null
SF6507089273929,null
SF6507089110418,null
SF6507089121760,null
SF6507089565758,null
SF6507090012004,null
SF6507089069986,null
SF6507089317978,null
SF6507090638582,null
SF6508603272359,null
SF6507089079573,null
SF6507089090442,null
SF6507088029689,null
SF6507090502506,null
SF6507090116419,null
SF6507089123293,null
SF6507090549562,null
SF6507090164688,null
SF6507090236713,null
SF6507089308679,null
SF6507089080459,null
SF6507090680851,null
SF6508603271691,null
SF6507089070642,null
SF6507090379302,null
SF6507089121203,null
SF6507089130546,null
SF6507089077362,null
SF6507090525841,null
SF6507089141095,null
SF6507089076612,null
SF6507090494136,null
SF9600553063501,SE0001
SF6507089071938,null
SF6507089069455,null
SF6507088984169,null
SF6507089109938,null
SF6507089317914,null
SF6507089121258,null
SF6507089114452,null
SF1633883916843,SE0113
SF6507089126532,null
SF6507089125713,null
SF6507089387513,null
SF6507089187707,null
SF6507089524781,null
SF6507089086341,null
SF6507089071734,null
SF6507090032239,null
SF6507090084460,null
SF6507090075754,null
SF6507089146255,null
SF6507089061592,null
SF6507089083753,null
SF6507089069243,null
SF6507088981175,null
SF6507089125440,null
SF6507089806088,null
SF6507089082591,null
SF6507089064647,null
SF6507088898363,null
SF6507089559949,null
SF6507090466323,null
SF6507089817396,null
SF6507090638800,null
SF6507090505097,null
SF6507089128629,null
SF6507089432775,null
SF6507090247509,null
SF6507089096112,null
SF6507090787783,null
SF1110520911955,S2
SF6507089097717,null
SF6507089364047,null
SF6507089085461,null
SF6507089219473,null
SF6507089742575,null
SF6507090398037,null
SF6507090305194,null
SF6507089220101,null
SF6507090083218,null
SF6507090061296,null
SF6507090613434,null
SF6507089077177,null
SF6507089210251,null
SF1414537691193,null
SF6507089532218,null
SF6507089012692,null
SF6507089072817,null
SF6507089076242,null
SF6507089068714,null
SF6507089081002,null
SF9600553063371,SE0001
SF6507089117701,null
SF6507089641701,null
SF6507089747462,null
SF6507089219622,null
SF6507089065739,null
SF6507090145042,null
SF6507089109383,null
SF6507089086004,null
SF6507089544177,null
SF6507089067969,null
SF6507088571889,null
SF6507090240207,null
SF6507090144602,null
SF6507090605573,null
SF6507090167803,null
SF6507088660872,null
SF6507090513901,null
SF6507089122604,null
SF6507089144477,null
SF6507089108688,null
SF6507089156839,null
SF6507089096219,null
SF6507089890656,null
SF6507088938862,null
SF6507089105011,null
SF6507089064064,null
SF6507090508973,null
SF6507089035080,null
SF6507088985746,null
SF6507089087081,null
SF6507090096956,null
SF6507090693220,null
SF6507089123026,null
SF6507089962694,null
SF6507089123811,null
SF6507089495889,null
SF6507089224694,null
SF6507089127015,null
SF6507089079097,null
SF6507088606820,null
SF6507089118672,null
SF6507089114789,null
SF6507090696417,null
SF6507089044421,null
SF6507090592067,null
SF6507089065651,null
SF6507089121142,null
SF6507089554849,null
SF6507090017440,null
SF6507089061229,null
SF6507088516435,null
SF6507089121300,null
SF6507089067456,null
SF6507089460986,null
SF6507090526281,null
SF6507089121973,null
SF6507089114082,null
SF6507089084809,null
SF6507090497785,null
SF6507089998255,null
SF6507089035257,null
SF6507089145588,null
SF6507089107083,null
SF6507089781359,null
SF6507089116797,null
SF6507089985417,null
SF6507089119870,null
SF6507089783394,null
SF6507088987418,null
SF6507089126805,null
SF6507089107348,null
SF6507089076888,null
SF6507090452031,null
SF6507089251943,null
SF6507090772821,null
SF6507089116319,null
SF6507089125635,null
SF6507089076312,null
SF6507089964620,null
SF6507089926065,null
SF6507090282269,null
SF6507090039498,null
SF6507089190629,null
SF6507090358920,null
SF6507089258362,null
SF6507088985700,null
SF6507088607870,null
SF6507088658337,null
SF6507089079819,null
SF6507088632292,null
SF6507090153285,null
SF6507089983658,null
SF6507089809692,null
SF6507090113629,null
SF6507089160852,null
SF6507088981590,null
SF6507089206546,null
SF6507088282706,null
SF6507089508881,null
SF6507089687665,null
SF6507089124736,null
SF6507090439620,null
SF6507090592977,null
SF6507089126984,null
SF6507089255456,null
SF6507089122737,null
SF6507089047798,null
SF6507090033137,null
SF6507089147657,null
SF6507089941305,null
SF6507089087267,null
SF6507089086156,null
SF6507089991836,null
SF6507089109365,null
SF6507089110551,null
SF6507088984026,null
SF6507089220438,null
SF6507087829646,null
SF6507090514378,null
SF6507089079607,null
SF6507089313698,null
SF6507089123053,null
SF6507089114198,null
SF6507089034977,null
SF6507089077070,null
SF6507090522098,null
SF6507090185960,null
SF6507090114535,null
SF6507089061210,null
SF6507089082800,null
SF6507090004965,null
SF6507089119313,null
SF6507090063716,null
SF6507089072862,null
SF6507089127389,null
SF6507089219455,null
SF6507089592230,null
SF6507089302936,null
SF6507089062375,null
SF6507089110409,null
SF6507090643283,null
SF6507089089123,null
SF6507089647199,null
SF6507089062199,null
SF6507089120987,null
SF6507089097602,null
SF6507090731775,null
SF6507089034959,null
SF6507089237511,null
SF6507089111159,null
SF6507089077168,null
SF6507089131993,null
SF6507090689516,null
SF6507089063582,null
SF6507088985128,null
SF6507089837972,null
SF6508603271424,null
SF6507090345219,null
SF6507089649540,null
SF6507090186479,null
SF6507090049816,null
SF6507090518118,null
SF6507089117323,null
SF6507090097005,null
SF6507090681238,null
